Record Number, Time, Temperature (F), Pressure (mbar), Humidity (%), Wind Direction (Degrees), Wind Direction (String), Wind Speed (MPH), Wind Gust (MPH), Precipitation (Inches), Shortwave Radiation (W m^(-2)), Avg. RF Watts (W), Avg. RF Watts Frequency (MHz), Peak RF Watts (W), Frequency of RF Watts Peak (MHz), Peak RF Watts Frequency (MHz), Watts of RF Watts Frequency Peak (W), Avg. RF Density (W m^(-2)), Avg. RF Density Frequency (MHz), Peak RF Density (W m^(-2)), Frequency of RF Density Peak (MHz), Peak RF Density Frequency (MHz), Density of RF Density Frequency Peak (W m^(-2)), Avg. Total Density (W m^(-2)), Max Total Density (W m^(-2)), Avg. EF (V/m), Max EF (V/m), Avg. EMF (mG), Max EMF (mG),Station ID
3014, 2020-06-17 09:22:06.253682,50.5,1016.6,83.7,226.5, SW,1.8,4.8,0.484,275,1.778E-10,741,1E-09,1844,1873,3.16E-10,8.5714285714E-06,791.7,0.0001,1833,1884,0,0.00152,0.0036,2042.3,2255.2,0,0,2
3015, 2020-06-17 09:37:11.340968,51.6,1016.6,82.9,222.4, SW,1.7,4.6,0.484,735,1.270714E-10,640.3,1E-09,1833,1857,6.31E-10,7.1428571429E-06,675,0.0001,1869,1873,0.0001,0.000882857142857,0.0029,2055.5,2255.2,0,0,2
3016, 2020-06-17 09:52:16.152114,50.9,1016.7,84.7,225.1, SW,1.3,2.7,0.484,495,1.593571E-10,646.9,1E-09,1847,1874,7.94E-10,1.14285714286E-05,629.6,0.0001,1864,1874,0.0001,0.001005714285714,0.0032,2072.6,2255.2,0,0.2,2
3017, 2020-06-17 10:07:19.844013,48.6,1016.8,91.9,233.2, SW,0.8,2.7,0.484,70,1.210429E-10,592,1E-09,1830,1883,5.01E-10,1E-05,655.4,0.0003,1880,1888,0.0001,0.001457142857143,0.004,2038.6,2255.2,0,0,2
3018, 2020-06-17 10:22:25.011152,47.3,1017,100,235, SW,0.5,2.1,0.484,85,1.454571E-10,727.1,1E-09,1836,1879,3.16E-10,1.14285714286E-05,803.4,0.0002,1881,1881,0.0002,0.001448571428571,0.0043,2040.4,2255.2,0,0,2
3019, 2020-06-17 10:37:29.689092,47.5,1016.9,100,222.3, SW,0.3,1.5,0.484,115,1.814714E-10,740.7,7.94E-10,1833,1880,5.01E-10,4.2857142857E-06,727.4,0.0001,1871,1871,0.0001,0.001195714285714,0.0039,2020.9,2242,0,0,2
3020, 2020-06-17 10:52:32.624620,47.3,1017.3,100,248.3, WSW,0,0.6,0.484,105,1.771429E-10,723.5,7.94E-10,1838,1882,5.01E-10,8.5714285714E-06,793.2,0.0001,1882,1882,0.0001,0.002027142857143,0.0041,2015.3,2239.6,0,0,2
3021, 2020-06-17 11:07:34.181350,48,1017.3,100,316.2, NW,0.3,1.9,0.484,140,1.950571E-10,741.4,7.94E-10,1864,1879,3.98E-10,5.7142857143E-06,723.8,0.0001,1864,1875,0.0001,0.001741428571429,0.0042,2035.9,2239.6,0,0,2
3022, 2020-06-17 11:22:35.647755,50.2,1017.4,84.8,318.6, NW,0.8,2.5,0.484,240,2.212143E-10,829.2,1E-09,1831,1883,5.01E-10,7.1428571429E-06,812.3,0.0001,1880,1884,0,0.001435714285714,0.0054,2031.4,2252.8,0,0,2
3023, 2020-06-17 11:37:38.257796,54.9,1017.1,66.9,311.1, NW,0.9,3.4,0.484,270,2.039143E-10,809.3,1E-09,1861,1881,3.16E-10,5.7142857143E-06,791.9,0.0001,1856,1881,0,0.001935714285714,0.0066,2005.2,2242,0,0,2
3024, 2020-06-17 11:52:41.234229,54.9,1017.1,68.5,266.9, W,0.9,4,0.484,245,1.938714E-10,783.2,2E-09,1866,1880,6.31E-10,8.5714285714E-06,735.2,0.0002,1866,1880,0.0001,0.001867142857143,0.0073,2030.6,2255.2,0,0,2
3025, 2020-06-17 12:07:42.714886,56.1,1017.1,72.2,245, WSW,1,3.3,0.484,200,1.142571E-10,634.4,6.31E-10,1880,1880,6.31E-10,5.7142857143E-06,657.5,0.0001,1832,1880,0.0001,0.001774285714286,0.0073,1980.9,2255.2,0,0,2
3026, 2020-06-17 12:22:55.581946,54.1,1017.3,66.9,225.9, SW,1.4,4,0.484,205,1.722676E-10,621.2,2E-09,1858,1888,1E-09,1.12676056338E-05,617.5,0.0002,1858,1882,0,0.001695774647887,0.0074,2023.4,2255.2,0,0,2
3027, 2020-06-17 12:37:58.984976,54.5,1017.3,70,217.7, SW,1.8,4.5,0.484,320,1.789E-10,717.9,1E-09,1835,1858,1E-09,1.14285714286E-05,671.9,0.0001,1834,1858,0.0001,0.00202,0.0081,2027.5,2255.2,0,0.2,2
3028, 2020-06-17 12:53:11.821840,54.9,1017.3,67.4,247.4, WSW,0.7,2.1,0.484,190,1.153521E-10,551.9,1E-09,1880,1881,7.94E-10,7.0422535211E-06,575.7,0.0001,1858,1884,0.0001,0.001819718309859,0.0068,1970.7,2255.2,0,0.2,2
3029, 2020-06-17 13:08:14.080856,55,1017.4,61.6,223.4, SW,1.9,4.6,0.484,195,2.916571E-10,818.3,2E-09,1880,1884,6.31E-10,2.71428571429E-05,786.3,0.0002,1880,1884,0.0001,0.001448571428571,0.0055,2054.2,2255.2,0,0,2
3030, 2020-06-17 13:23:15.866558,54.1,1017.6,65.5,235.5, SW,1.1,3,0.484,105,1.251E-10,580,1E-09,1869,1869,1E-09,7.1428571429E-06,574.8,0.0001,1849,1849,0.0001,0.001954285714286,0.0056,2012.9,2255.2,0,0,2
3031, 2020-06-17 13:38:28.817191,54.5,1017.7,61.2,228, SW,1.6,4.3,0.484,230,5.848169E-10,597.1,3.2E-08,1880,1880,3.2E-08,8.4507042254E-06,599.9,0.0001,1847,1881,0.0001,0.001802816901409,0.0048,2030,2255.2,0,0,2
3032, 2020-06-17 13:53:41.557914,54.5,1017.8,62.1,224.1, SW,1.7,5.1,0.484,155,1.440845E-10,626.4,1E-09,1876,1885,1.58E-10,4.2253521127E-06,575.2,0.0001,1834,1859,0.0001,0.001849295774648,0.004,2056.5,2255.2,0,0.2,2
3033, 2020-06-17 14:08:54.652884,54.3,1018,64.9,215.1, SW,1.4,3.6,0.484,145,1.645352E-10,667,1E-09,1834,1875,7.94E-10,5.6338028169E-06,595.7,0.0001,1860,1875,0.0001,0.001533802816901,0.0043,2018.7,2255.2,0,0.2,2
3034, 2020-06-17 14:23:56.283670,53.2,1018.1,62,230.1, SW,0.9,2.7,0.484,85,1.558E-10,651.2,1E-09,1875,1886,3.98E-10,7.1428571429E-06,633.9,0.0001,1854,1886,0,0.001547142857143,0.004,2061.3,2255.2,0,0,2
3035, 2020-06-17 14:38:58.143555,53.6,1018.1,66,234.7, SW,0.3,1.6,0.484,65,1.375571E-10,672.1,1E-09,1870,1883,5.01E-10,7.1428571429E-06,686.9,0.0001,1880,1883,0.0001,0.001641428571429,0.0041,2014,2255.2,0,0,2
3036, 2020-06-17 14:54:00.829676,52.9,1018.2,69.5,265.7, W,0.1,0.9,0.484,105,1.302714E-10,672.4,1E-09,1871,1879,7.94E-10,5.7142857143E-06,700.3,0.0001,1880,1880,0.0001,0.001892857142857,0.0059,2006,2255.2,0,0,2
3037, 2020-06-17 15:09:03.114409,53.6,1018.2,67.4,241, WSW,0,0,0.484,90,2.353E-10,838.8,2E-09,1877,1884,6.31E-10,7.1428571429E-06,717.8,0.0001,1854,1884,0.0001,0.001864285714286,0.004,2019.8,2255.2,0,0,2
3038, 2020-06-17 15:24:05.140562,52.7,1018.2,64.9,236.4, WSW,0.7,3.1,0.484,10,1.519286E-10,683.3,1E-09,1878,1881,6.31E-10,7.1428571429E-06,717,0.0001,1834,1881,0.0001,0.002041428571429,0.0052,2002.5,2255.2,0,0,2
3039, 2020-06-17 15:39:07.630127,51.8,1018.5,68.7,263.8, W,0.3,1.8,0.484,40,1.412429E-10,686.4,1E-09,1875,1875,1E-09,8.5714285714E-06,745.6,0.0001,1875,1879,0.0001,0.001645714285714,0.0041,2051.7,2255.2,0,0,2
3040, 2020-06-17 15:54:09.243480,50.9,1018.5,67.7,298.7, WNW,0.8,3.1,0.484,140,1.596857E-10,721.4,1E-09,1865,1884,7.94E-10,1E-05,786.3,0.0001,1884,1884,0.0001,0.002061428571429,0.0042,2008.7,2255.2,0,0,2
3041, 2020-06-17 16:09:22.953380,52.9,1018.5,62.8,320.6, NW,0.5,3.1,0.484,125,1.746338E-10,772.8,1E-09,1869,1874,3.98E-10,4.2253521127E-06,755.9,0.0001,1836,1874,0,0.001746478873239,0.0044,2038.3,2252.8,0,0,2
3042, 2020-06-17 16:24:24.185926,52.3,1018.6,60.4,330, NNW,0.9,3.3,0.484,85,2.151857E-10,829.1,1E-09,1865,1884,5.01E-10,2E-05,914.7,0.0002,1833,1884,0.0001,0.002095714285714,0.0052,2041.8,2242,0,0,2
3043, 2020-06-17 16:39:25.738693,53.1,1018.8,63.3,328.7, NNW,0.4,2.8,0.484,125,2.072571E-10,776.9,2E-09,1868,1880,7.94E-10,1.28571428571E-05,810.4,0.0002,1868,1879,0.0001,0.001747142857143,0.0042,2018.2,2255.2,0,0,2
3044, 2020-06-17 16:54:27.003862,52.5,1018.8,67.2,321.7, NW,0.3,1.9,0.484,20,1.927143E-10,807.4,2E-09,1871,1886,3.98E-10,8.5714285714E-06,771.7,0.0002,1871,1874,0.0001,0.001884285714286,0.0041,2036.2,2255.2,0,0,2
3045, 2020-06-17 17:09:40.654969,52,1019,65.5,310.7, NW,0.2,2.2,0.484,0,2.841127E-10,859.4,2E-09,1859,1879,1.26E-10,1.40845070423E-05,808.5,0.0002,1859,1879,0,0.001480281690141,0.0042,2036.5,2255.2,0,0,2
3046, 2020-06-17 17:24:42.253103,51.8,1019.3,61.5,316, NW,0.8,2.8,0.484,15,2.555E-10,863,2E-09,1877,1885,3.16E-10,1E-05,794.5,0.0002,1877,1885,0,0.001374285714286,0.0042,1994,2242,0,0,2
3047, 2020-06-17 17:39:43.383821,51.3,1019.5,61.1,349.3, NNW,2.2,5.1,0.484,20,2.885286E-10,844.8,2E-09,1869,1884,1E-09,1.85714285714E-05,827.1,0.0002,1869,1873,0.0002,0.002022857142857,0.0047,2025.3,2252.8,0,0,2
3048, 2020-06-17 17:54:56.101882,50.7,1019.4,63.1,341.7, NNW,1.5,3.7,0.484,25,2.340563E-10,823.7,2E-09,1866,1873,3.16E-10,5.6338028169E-06,739.5,0.0002,1869,1869,0.0002,0.001747887323944,0.0053,2028.9,2252.8,0,0,2
3049, 2020-06-17 18:10:09.510606,51.3,1019.4,61.9,340.4, NNW,1.1,3.3,0.484,75,2.021972E-10,758.2,1E-09,1874,1884,6.31E-10,1.54929577465E-05,860.1,0.0002,1873,1884,0.0001,0.001902816901409,0.0043,2018,2237.2,0,0,2
3050, 2020-06-17 18:25:23.422333,52,1019.3,61.9,351.3, NNW,1,2.7,0.484,65,2.028169E-10,754.4,1E-09,1879,1879,1E-09,5.6338028169E-06,757.7,0.0001,1862,1879,0.0001,0.001642253521127,0.0043,2029.3,2236,0,0,2
3051, 2020-06-17 18:40:36.263863,51.8,1019.4,59.7,330.8, NNW,0.8,2.4,0.484,30,3.199577E-10,978.4,2E-09,1833,1885,2E-10,1.69014084507E-05,860.5,0.0002,1833,1885,0,0.00170985915493,0.0042,2012.6,2252.8,0,0,2
3052, 2020-06-17 18:55:49.953631,52,1019.4,60.1,330.3, NNW,0.3,1.9,0.484,80,1.779296E-10,706.3,1E-09,1872,1872,1E-09,9.8591549296E-06,774.7,0.0001,1883,1883,0.0001,0.001853521126761,0.0043,1979.9,2252.8,0,0,2
3053, 2020-06-17 19:11:03.734150,52,1019.6,60.2,331.4, NNW,0.3,2.1,0.484,70,1.785775E-10,723.5,1E-09,1874,1876,3.16E-10,2.11267605634E-05,809.2,0.0008,1880,1880,0.0008,0.001876056338028,0.0042,2024.8,2252.8,0,0,2
3054, 2020-06-17 19:26:17.158060,52.5,1019.6,56.9,325.3, NW,0.4,1.6,0.484,50,1.552958E-10,688.5,6.31E-10,1836,1836,6.31E-10,1.12676056338E-05,807.2,0.0001,1836,1877,0.0001,0.002230985915493,0.0041,2025.6,2255.2,0,0,2
3055, 2020-06-17 19:41:30.736952,52.7,1019.6,58.4,322.1, NW,0.4,1.6,0.484,50,2.655634E-10,860.9,2E-09,1880,1881,7.94E-10,1.2676056338E-05,809.9,0.0002,1872,1881,0.0001,0.00160985915493,0.0051,2016.3,2255.2,0,0,2
3056, 2020-06-17 19:56:32.339075,52.2,1019.7,62.5,354, NNW,0,0.7,0.484,40,1.957571E-10,788,1E-09,1879,1879,1E-09,4.2857142857E-06,740.6,0.0001,1879,1879,0.0001,0.001644285714286,0.0049,2025.9,2255.2,0,0,2
3057, 2020-06-17 20:11:33.662768,51.1,1019.7,64.6,321.6, NW,0,0,0.484,20,2.308E-10,759.5,2E-09,1873,1879,2E-09,1E-05,758.3,0.0002,1873,1876,0.0001,0.001974285714286,0.0042,1996.9,2252.8,0,0,2
3058, 2020-06-17 20:26:47.250729,50.5,1019.8,71.5,314.1, NW,0,0,0.484,20,2.401268E-10,824.9,1E-09,1870,1884,3.98E-10,1.69014084507E-05,842.5,0.0004,1880,1884,0,0.001745070422535,0.0041,2030.5,2252.8,0,0,2
3059, 2020-06-17 20:41:48.428411,50.5,1019.8,74.5,313.7, NW,0,0,0.484,20,2.915857E-10,897.6,1E-09,1871,1888,1E-09,2E-05,913.7,0.0001,1841,1884,0.0001,0.001378571428571,0.0042,1982.8,2237.2,0,0,2
3060, 2020-06-17 20:56:50.652311,49.3,1019.8,76.9,246.5, WSW,0,0,0.484,0,1.84E-10,706.4,1E-09,1851,1855,6.31E-10,5.7142857143E-06,741.4,0.0001,1855,1881,0.0001,0.001651428571429,0.0042,1996.1,2239.6,0,0,2
3061, 2020-06-17 21:12:04.396172,47.3,1020,81.6,230.6, SW,0,0,0.484,15,2.155634E-10,758.2,1E-09,1874,1885,3.98E-10,4.2253521127E-06,723.7,0.0001,1874,1885,0,0.001845070422535,0.0043,2014.6,2236,0,0,2
3062, 2020-06-17 21:27:06.758783,45.7,1020,85.2,232, SW,0,0,0.484,10,2.849143E-10,809.4,2E-09,1869,1881,5.01E-10,5.7142857143E-06,724.2,0.0001,1861,1884,0.0001,0.002065714285714,0.0045,2037.1,2236,0,0,2
3063, 2020-06-17 21:42:07.919445,44.8,1020.2,89.7,231.1, SW,0,0,0.484,0,2.710429E-10,758.8,4E-09,1881,1881,4E-09,2E-05,827.3,0.0004,1881,1884,0.0002,0.001861428571429,0.0044,1986.1,2236,0,0,2
3064, 2020-06-17 21:57:09.812144,44.2,1020.3,99.2,232.3, SW,0,0,0.484,0,2.373571E-10,759.6,2E-09,1871,1884,1E-09,1.28571428571E-05,808.7,0.0002,1858,1858,0.0002,0.002314285714286,0.0043,2000,2236,0,0,2
3065, 2020-06-17 22:12:23.775247,43.3,1020.4,100,233.2, SW,0,0,0.484,20,3.222254E-10,791.9,6E-09,1880,1881,3.16E-10,1.83098591549E-05,808.8,0.0006,1880,1881,0,0.001838028169014,0.0062,1981,2236,0,0,2
3066, 2020-06-17 22:27:25.019982,42.8,1020.5,100,231.7, SW,0,0,0.484,0,2.180143E-10,759.3,1E-09,1882,1883,1E-09,7.1428571429E-06,759.2,0.0001,1882,1883,0.0001,0.001762857142857,0.0049,2016.6,2236,0,0,2
3067, 2020-06-17 22:42:37.624377,42.3,1020.5,100,230.6, SW,0,0,0.484,0,2.683239E-10,774.6,1E-09,1835,1883,7.94E-10,8.4507042254E-06,775.1,0.0001,1874,1883,0.0001,0.001449295774648,0.0044,2032.7,2236,0,0,2
3068, 2020-06-17 22:57:51.002677,41.9,1020.7,100,303, WNW,0,0,0.484,0,3.377887E-10,826.3,1E-09,1847,1884,6.31E-10,9.8591549296E-06,775.6,0.0001,1847,1884,0.0001,0.001667605633803,0.0044,1999.7,2236,0,0,2
3069, 2020-06-17 23:12:52.429641,41.7,1020.9,100,313.1, NW,0,0,0.484,0,2.739143E-10,723.7,7.94E-10,1845,1845,7.94E-10,4.2857142857E-06,706.8,0.0001,1836,1845,0.0001,0.001932857142857,0.0045,1998.3,2236,0,0,2
3070, 2020-06-17 23:27:54.722279,41.5,1020.9,100,312.6, NW,0,0,0.484,0,3.230857E-10,792.9,1E-09,1856,1873,1E-09,7.1428571429E-06,741.8,0.0001,1845,1873,0.0001,0.002221428571429,0.0046,2003,2236,0,0,2
3071, 2020-06-17 23:42:57.574154,41.4,1020.9,100,273, W,0,0,0.484,0,2.730429E-10,673,1E-09,1834,1834,1E-09,1.4285714286E-06,673.4,0.0001,1869,1869,0.0001,0.002281428571429,0.0046,2007.5,2233.6,0,0,2
3072, 2020-06-17 23:58:00.247765,41.4,1020.9,100,271.2, W,0,0,0.484,0,4.014429E-10,811.9,3E-09,1881,1884,7.94E-10,5.7142857143E-06,725.4,0.0001,1884,1884,0.0001,0.001791428571429,0.0046,1977.5,2233.6,0,0,2
3073, 2020-06-18 00:13:04.722592,41.7,1020.8,100,244.9, WSW,0,0,0.484,0,3.749143E-10,863,2E-09,1862,1881,5.01E-10,1.71428571429E-05,845.5,0.0002,1862,1880,0.0001,0.001937142857143,0.0045,1995.7,2233.6,0,0,2
3074, 2020-06-18 00:28:09.004192,40.8,1020.8,100,255.6, WSW,0,0,0,0,5.698E-10,759.6,1.3E-08,1880,1882,5.01E-10,1.57142857143E-05,742.5,0.0006,1880,1882,0.0001,0.001848571428571,0.0045,1998.8,2224,0,0,2
3075, 2020-06-18 00:43:13.182604,41,1021,100,248.2, WSW,0,0.4,0,0,3.667714E-10,794,1E-09,1875,1875,1E-09,7.1428571429E-06,742,0.0001,1835,1875,0.0001,0.001942857142857,0.0047,1997.7,2224,0,0,2
3076, 2020-06-18 00:58:16.199926,40.3,1020.8,100,230.7, SW,0,0,0,0,3.137E-10,673.5,3.98E-10,657,1878,3.98E-10,5.7142857143E-06,760,0.0001,1854,1881,0,0.002382857142857,0.0046,1967,2233.6,0,0,2
3077, 2020-06-18 01:13:19.216049,39.9,1020.9,100,267.1, W,0,0,0,10,3.918857E-10,776.4,2E-09,1861,1875,6.31E-10,1.28571428571E-05,793.3,0.0002,1861,1875,0.0001,0.001724285714286,0.0046,1959.8,2233.6,0,0,2
3078, 2020-06-18 01:28:22.932331,40.1,1020.8,100,301, WNW,0.1,1.3,0,0,3.783143E-10,725.5,2E-09,1858,1884,3.98E-10,4.2857142857E-06,690.5,0.0002,1858,1860,0.0001,0.002104285714286,0.0047,1986.1,2216.8,0,0,2
3079, 2020-06-18 01:43:28.191248,40.3,1020.9,100,304.9, NW,0.4,2.4,0,0,4.069286E-10,794.3,1E-09,1866,1881,5.01E-10,1.71428571429E-05,846.8,0.0002,1867,1882,0.0001,0.001731428571429,0.0047,1984.5,2224,0,0,2
3080, 2020-06-18 01:58:32.849189,40.3,1020.8,100,297.8, WNW,0.4,1.9,0,0,4.412571E-10,811.1,2E-09,1873,1884,7.94E-10,8.5714285714E-06,725,0.0002,1873,1873,0.0002,0.002082857142857,0.0047,1979.9,2216.8,0,0,2
3081, 2020-06-18 02:13:37.215445,39.6,1020.8,100,291.1, WNW,0.1,0.9,0,0,4.377571E-10,794.8,2E-09,1881,1885,5.01E-10,2.42857142857E-05,898.3,0.0002,1881,1885,0.0001,0.00171,0.0047,1977.9,2216.8,0,0,2
3082, 2020-06-18 02:28:42.304777,38.8,1020.8,100,285.3, WNW,0,0,0,0,3.867E-10,724.8,1E-09,1864,1879,6.31E-10,7.1428571429E-06,742,0.0001,1879,1879,0.0001,0.002265714285714,0.0046,1970.6,2216.8,0,0,2
3083, 2020-06-18 02:43:47.283616,39,1020.9,100,301.1, WNW,0.1,1.2,0,0,4.674714E-10,879.7,2E-09,1862,1883,6.31E-10,2E-05,862.7,0.0002,1862,1883,0.0001,0.001977142857143,0.0048,1990.1,2233.6,0,0,2
3084, 2020-06-18 02:58:52.093113,39.4,1020.9,100,324.3, NW,0.2,1.6,0,0,5.031571E-10,862.3,2E-09,1872,1884,7.94E-10,1.14285714286E-05,775.6,0.0002,1872,1879,0.0001,0.001942857142857,0.0049,2003.3,2216.8,0,0,2
3085, 2020-06-18 03:13:57.150911,39,1021,100,271.8, W,0,1.2,0,0,3.735286E-10,741.2,1E-09,1875,1875,1E-09,1.42857142857E-05,827.7,0.0002,1858,1882,0.0001,0.002038571428571,0.0047,1963.5,2233.6,0,0,2
3086, 2020-06-18 03:29:01.800093,39.4,1020.9,100,271.2, W,0,0,0,15,4.064429E-10,794.4,1E-09,1862,1884,7.94E-10,1E-05,776.5,0.0001,1862,1877,0.0001,0.001957142857143,0.005,2000.5,2233.6,0,0,2
3087, 2020-06-18 03:44:06.556888,39.4,1021.1,100,256, WSW,0,0,0,0,4.499143E-10,844.7,2E-09,1880,1881,7.94E-10,1.28571428571E-05,776.6,0.0002,1880,1881,0.0001,0.002127142857143,0.0046,1985.1,2216.8,0,0,2
3088, 2020-06-18 03:59:11.602237,39.2,1020.9,100,267.7, W,0.1,1.3,0,0,3.863143E-10,759.1,1E-09,1862,1874,3.98E-10,1.14285714286E-05,828.1,0.0001,1869,1876,0.0001,0.00205,0.0046,1976.8,2216.8,0,0,2
3089, 2020-06-18 04:14:17.034505,38.8,1020.9,100,278.9, W,0,0,0,0,4.213143E-10,774.8,2E-09,1841,1858,1E-09,1.42857142857E-05,809.4,0.0002,1841,1879,0.0001,0.001784285714286,0.0046,1982.2,2233.6,0,0,2
3090, 2020-06-18 04:29:22.626385,38.5,1020.9,100,282.1, WNW,0,0,0,0,4.304714E-10,828.2,1E-09,1877,1877,1E-09,1E-05,776.3,0.0001,1873,1873,0.0001,0.001864285714286,0.0048,1994.9,2216.8,0,0,2
3091, 2020-06-18 04:44:27.956034,38.1,1020.9,100,330.4, NNW,0,0,0,15,4.073143E-10,775.6,1E-09,1864,1871,1E-09,1E-05,776.1,0.0001,1856,1880,0.0001,0.002157142857143,0.0049,1962.6,2233.6,0,0,2
3092, 2020-06-18 04:59:34.297349,37.8,1020.9,100,233.6, SW,0,0,0,0,4.719286E-10,830.3,3E-09,1881,1884,1E-09,1.71428571429E-05,830.1,0.0003,1881,1884,0.0001,0.00148,0.0047,1977.3,2216.8,0,0,2
3093, 2020-06-18 05:14:39.658160,38.5,1021,100,290.7, WNW,0.2,1.5,0,0,4.486429E-10,759.3,2E-09,1853,1875,6.31E-10,1E-05,759,0.0002,1853,1864,0.0001,0.002068571428571,0.0047,1998.4,2216.8,0,0,2
3094, 2020-06-18 05:29:44.642590,38.8,1021,100,344.7, NNW,0.6,1.9,0,0,4.329857E-10,742.3,2E-09,1862,1879,6.31E-10,1.14285714286E-05,776,0.0002,1862,1879,0.0001,0.002075714285714,0.0048,1989,2216.8,0,0,2
3095, 2020-06-18 05:44:49.147407,38.7,1020.9,100,334, NNW,0.3,1.5,0,0,4.175714E-10,742,1E-09,1866,1882,6.31E-10,1E-05,775.9,0.0001,1845,1875,0.0001,0.002451428571429,0.0049,2005.9,2216.8,0,0,2
3096, 2020-06-18 05:59:55.033533,38.8,1020.8,100,319.3, NW,0.3,1.9,0,0,3.780857E-10,656.2,3.98E-10,656,657,3.98E-10,0,656.2,0,656,657,0,0.001852857142857,0.0049,1980.5,2216.8,0,0,2
3097, 2020-06-18 06:15:00.474821,38.8,1020.8,100,316.8, NW,0.4,2.2,0,15,4.246429E-10,725.3,3E-09,1880,1880,3E-09,8.5714285714E-06,725.5,0.0003,1880,1880,0.0003,0.001737142857143,0.0054,1970.7,2233.6,0,0,2
3098, 2020-06-18 06:30:05.625586,38.7,1020.8,100,229.3, SW,0,0,0,30,3.949286E-10,691.2,2E-09,1884,1884,2E-09,7.1428571429E-06,725.2,0.0002,1884,1884,0.0002,0.00169,0.0046,2000,2233.6,0,0,2
3099, 2020-06-18 06:45:11.443466,38.8,1020.8,100,222.9, SW,0,0,0,40,4.492429E-10,810.4,2E-09,1876,1876,2E-09,1.28571428571E-05,775.9,0.0002,1876,1878,0.0002,0.002118571428571,0.0046,2001.3,2216.8,0,0,2
3100, 2020-06-18 07:00:16.354294,39.4,1020.9,100,260, W,0.3,2.1,0,50,5.132714E-10,759.8,8E-09,1877,1881,1E-09,2.42857142857E-05,827.9,0.0008,1877,1881,0.0001,0.002222857142857,0.0046,1963,2233.6,0,0,2
3101, 2020-06-18 07:15:22.023626,40.6,1020.9,100,253, WSW,0.2,1.3,0,100,4.125143E-10,743.3,2E-09,1864,1884,1E-09,1.28571428571E-05,812.1,0.0001,1856,1881,0.0001,0.001855714285714,0.0047,1984.4,2233.6,0,0,2
3102, 2020-06-18 07:30:27.185526,43.2,1020.8,100,353.5, NNW,1.6,4.3,0,275,4.000714E-10,776.5,1E-09,1875,1880,5.01E-10,7.1428571429E-06,759.2,0.0001,1875,1875,0.0001,0.001787142857143,0.0049,1974.9,2233.6,0,0,2
3103, 2020-06-18 07:45:30.578856,48.2,1020.7,100,347.8, NNW,0.9,2.1,0,310,3.581857E-10,776.9,1E-09,1871,1885,5.01E-10,8.5714285714E-06,759.3,0.0001,1877,1877,0.0001,0.002061428571429,0.0045,1999.3,2233.6,0,0,2
3104, 2020-06-18 08:00:32.563441,50.7,1020.7,87.7,321.9, NW,1.4,3.7,0,405,2.839E-10,759.2,2E-09,1832,1880,3.16E-10,1.14285714286E-05,776.7,0.0002,1832,1880,0,0.002048571428571,0.0046,2008.9,2236,0,0,2
3105, 2020-06-18 08:15:36.380465,52.2,1020.8,66,318.3, NW,1.2,4.2,0,420,2.392714E-10,810.2,1E-09,1865,1880,5.01E-10,7.1428571429E-06,758.3,0.0001,1878,1878,0.0001,0.002337142857143,0.0046,2018.7,2255.2,0,0,2
3106, 2020-06-18 08:30:38.613267,53.4,1020.7,59.8,341.9, NNW,1.5,4.5,0,475,2.373429E-10,827.6,2E-09,1869,1877,3.98E-10,7.1428571429E-06,724,0.0002,1869,1875,0.0001,0.001767142857143,0.004,2038.7,2255.2,0,0,2
3107, 2020-06-18 08:45:51.984407,54.3,1020.6,58.5,345.4, NNW,1.9,3.7,0,500,1.740704E-10,699.4,1E-09,1856,1888,1E-09,1.12676056338E-05,721.6,0.0001,1873,1888,0.0001,0.001530985915493,0.0039,2043.7,2255.2,0,0.2,2
3108, 2020-06-18 09:00:53.301834,55.4,1020.7,59.9,345.8, NNW,1.6,4.5,0,600,1.02E-10,537.1,7.94E-10,1883,1883,7.94E-10,5.7142857143E-06,543,0.0001,1879,1887,0,0.001728571428571,0.0039,2060.7,2272,0.1,0.3,2
3109, 2020-06-18 09:15:56.581026,55.9,1020.6,56.5,335.6, NNW,1.8,4.2,0,605,1.830143E-10,666.2,1E-09,1860,1885,3.98E-10,8.5714285714E-06,578.1,0.0001,1856,1885,0,0.001705714285714,0.005,2046.4,2262.4,0.2,0.3,2
3110, 2020-06-18 09:31:00.303127,57,1020.7,56.8,325, NW,1.2,3.4,0,665,1.477143E-10,598.2,1E-09,1882,1883,1E-09,8.5714285714E-06,564.2,0.0001,1870,1870,0.0001,0.002002857142857,0.0059,2033.6,2272,0.3,0.3,2
3111, 2020-06-18 09:46:02.384848,57.2,1020.7,55.9,349.2, NNW,2.1,4.2,0,695,1.430429E-10,711.7,1E-09,1830,1871,1.58E-10,7.1428571429E-06,728,0.0001,1841,1871,0,0.00195,0.0057,2034.4,2272,0.3,0.4,2
3112, 2020-06-18 10:01:03.791755,57.9,1020.6,54.7,340.4, NNW,1.7,4.6,0,750,1.769429E-10,777.3,2E-09,1866,1884,2.51E-10,1.14285714286E-05,799.8,0.0002,1866,1884,0,0.001688571428571,0.0054,2029.2,2272,0.4,0.6,2
